year,Jahr,BIP in Milliarden Euro
1991,1990-12-31T23:00:00Z,67.842573000
1992,1991-12-31T23:00:00Z,74.698791000
1993,1992-12-31T23:00:00Z,80.356784000
1994,1993-12-31T23:00:00Z,83.167738000
1995,1994-12-31T23:00:00Z,85.735614000
1996,1995-12-31T23:00:00Z,84.987165000
1997,1996-12-31T23:00:00Z,83.728568000
1998,1997-12-31T23:00:00Z,83.970304000
1999,1998-12-31T23:00:00Z,84.566365000
2000,1999-12-31T23:00:00Z,85.335517000
2001,2000-12-31T23:00:00Z,86.183204000
2002,2001-12-31T23:00:00Z,86.305803000
2003,2002-12-31T23:00:00Z,85.474373000
2004,2003-12-31T23:00:00Z,85.407349000
2005,2004-12-31T23:00:00Z,87.253705000
2006,2005-12-31T23:00:00Z,90.411694000
2007,2006-12-31T23:00:00Z,94.674553000
2008,2007-12-31T23:00:00Z,99.302085000
2009,2008-12-31T23:00:00Z,99.267085000
2010,2009-12-31T23:00:00Z,103.291959000
2011,2010-12-31T23:00:00Z,108.142626000
2012,2011-12-31T23:00:00Z,109.909819000
2013,2012-12-31T23:00:00Z,112.865595000
2014,2013-12-31T23:00:00Z,117.414639000
2015,2014-12-31T23:00:00Z,128.18912000
2016,2015-12-31T23:00:00Z,129.453927000
